artist	SONG	TITLE	ID
Михаил ШУФУТИНСКИЙ & МУРЗИЛКИ INT	ТАГАНКА	Михаил ШУФУТИНСКИЙ & МУРЗИЛКИ INT - ТАГАНКА	10577
Михаил ШУФУТИНСКИЙ & ЭТЕРИ	Я ТОБОЙ ДОРОЖУ	Михаил ШУФУТИНСКИЙ & ЭТЕРИ - Я ТОБОЙ ДОРОЖУ	10578
Михаил ШУФУТИНСКИЙ ft. МАСТЕР ШЕFF	БАБЫ — ПОСЛЕДНЕЕ ДЕЛО	Михаил ШУФУТИНСКИЙ ft. МАСТЕР ШЕFF - БАБЫ — ПОСЛЕДНЕЕ ДЕЛО	10579
Михаил ШУФУТИНСКИЙ и группа ВКУС МЁДА	ИЛЛЮЗИЯ	Михаил ШУФУТИНСКИЙ и группа ВКУС МЁДА - ИЛЛЮЗИЯ	10580
Михаил ШУФУТИНСКИЙ и группа РЕСПУБЛИКА	ЛЮДИ ДОБРЫЕ	Михаил ШУФУТИНСКИЙ и группа РЕСПУБЛИКА - ЛЮДИ ДОБРЫЕ	10581
Михаил ЯМСКОЙ	БЕССОННИЦА	Михаил ЯМСКОЙ - БЕССОННИЦА	10582
Михаил ЯМСКОЙ	ДОЧКА	Михаил ЯМСКОЙ - ДОЧКА	10583
Михаил ЯМСКОЙ	НОВЫЙ ГОД	Михаил ЯМСКОЙ - НОВЫЙ ГОД	10584
Михаил ЯМСКОЙ	ТВЕРЬ-ГОРОДОК	Михаил ЯМСКОЙ - ТВЕРЬ-ГОРОДОК	10585
Михаил ЯМСКОЙ	УЕЗЖАЮ	Михаил ЯМСКОЙ - УЕЗЖАЮ	10586
Михаил ЯНИС	LORD OF THE DANCE	Михаил ЯНИС - LORD OF THE DANCE	10587
Михаил ЯНИС	ЛИБЕРТАНГО	Михаил ЯНИС - ЛИБЕРТАНГО	10588
Михаил ЯНИС	ЛЮБЛЮ БЕЗУМНО	Михаил ЯНИС - ЛЮБЛЮ БЕЗУМНО	10589
Михаил ЯНИС	НЕ ЗАМЕЧАЕШЬ	Михаил ЯНИС - НЕ ЗАМЕЧАЕШЬ	10590
Михаил ЯНИС	ПАРУСА	Михаил ЯНИС - ПАРУСА	10591
Михаил ЯЦЕВИЧ	БАНЯ	Михаил ЯЦЕВИЧ - БАНЯ	10592
Михаил ЯЦЕВИЧ	ГОЛОВА ДВА УХА	Михаил ЯЦЕВИЧ - ГОЛОВА ДВА УХА	10593
Михаил ЯЦЕВИЧ	НЕТУ ВРЕМЕНИ	Михаил ЯЦЕВИЧ - НЕТУ ВРЕМЕНИ	10594
Михаил ЯЦЕВИЧ & Александр АРСЕНЬЕВ	ВИШНЯ	Михаил ЯЦЕВИЧ & Александр АРСЕНЬЕВ - ВИШНЯ	10595
Михаил ЯЦЕВИЧ & Елена ВАЕНГА	НАТАШКА	Михаил ЯЦЕВИЧ & Елена ВАЕНГА - НАТАШКА	10596
Михайло ГРИЦКАН	ДАЛЕКО	Михайло ГРИЦКАН - ДАЛЕКО	10597
Михайло ГРИЦКАН	ПОЧЕМУ ВСЕ НЕ ТАК	Михайло ГРИЦКАН - ПОЧЕМУ ВСЕ НЕ ТАК	10598
Михайло ГРИЦКАН	Я ПРИШЕЛ К ТЕБЕ	Михайло ГРИЦКАН - Я ПРИШЕЛ К ТЕБЕ	10599
Миша ТАЛАНТ	СОФИ	Миша ТАЛАНТ - СОФИ	10600
Мишель КОРОЛЕК	ЖИЗНЬ ТАКАЯ ШТУКА	Мишель КОРОЛЕК - ЖИЗНЬ ТАКАЯ ШТУКА	10601
Мишель КОРОЛЕК	ЭХ, ЗАГУЛЯЕМ	Мишель КОРОЛЕК - ЭХ, ЗАГУЛЯЕМ	10602
Мишель СЕРОВА	ADAGIO	Мишель СЕРОВА - ADAGIO	10603
Мия ПОБЕР	Я ТОСКУЮ ПО РОДИНЕ	Мия ПОБЕР - Я ТОСКУЮ ПО РОДИНЕ	10604
Мурат ТХАГАЛЕГОВ	КАЛЫМ	Мурат ТХАГАЛЕГОВ - КАЛЫМ	10605
Мурат ТХАГАЛЕГОВ	УКРАДЕТ И ПОЗОВЕТ	Мурат ТХАГАЛЕГОВ - УКРАДЕТ И ПОЗОВЕТ	10606
МЮЗИКЛ 12 СТУЛЬЕВ	БОГАДЕЛЬНЯ	МЮЗИКЛ 12 СТУЛЬЕВ - БОГАДЕЛЬНЯ	10607
МЮЗИКЛ 12 СТУЛЬЕВ	ПЕСНЯ О МОСКВЕ	МЮЗИКЛ 12 СТУЛЬЕВ - ПЕСНЯ О МОСКВЕ	10608
Надежда БАБКИНА	ЗА РЕКОЙ	Надежда БАБКИНА - ЗА РЕКОЙ	10609
Надежда БАБКИНА	КТО ТЕБЕ СКАЗАЛ	Надежда БАБКИНА - КТО ТЕБЕ СКАЗАЛ	10610
Надежда БАБКИНА	СПАСИБОЧКО	Надежда БАБКИНА - СПАСИБОЧКО	10611
Надежда БАБКИНА	СТАРЫЙ КЛЕН	Надежда БАБКИНА - СТАРЫЙ КЛЕН	10612
Надежда БАБКИНА	УТРО ТУМАННОЕ	Надежда БАБКИНА - УТРО ТУМАННОЕ	10613
Надежда БАБКИНА	ХРЯСТНУЛИ РЮМКИ-ТАРЕЛКИ	Надежда БАБКИНА - ХРЯСТНУЛИ РЮМКИ-ТАРЕЛКИ	10614
Надежда БАБКИНА	ЧУДНЫЙ МЕСЯЦ	Надежда БАБКИНА - ЧУДНЫЙ МЕСЯЦ	10615
Надежда БАБКИНА	ЦВЕТНОЙ БУЛЬВАР	Надежда БАБКИНА - ЦВЕТНОЙ БУЛЬВАР	10616
Надежда БАБКИНА & Евгений ГОР	ГДЕ МЕНЯ ТЕБЯ НАЙТИ	Надежда БАБКИНА & Евгений ГОР - ГДЕ МЕНЯ ТЕБЯ НАЙТИ	10617
Надежда БАБКИНА & Евгений ГОР	КАК? ПОЧЕМУ?	Надежда БАБКИНА & Евгений ГОР - КАК ПОЧЕМУ	10618
Надежда БАБКИНА и группа ДИСКОМАФИЯ	НА СОСЕДНЕЙ УЛИЦЕ	Надежда БАБКИНА и группа ДИСКОМАФИЯ - НА СОСЕДНЕЙ УЛИЦЕ	10619
Надежда БАБКИНА и группа ПОСЛЕ 11	ЧТО Ж ТЫ, РОЗА	Надежда БАБКИНА и группа ПОСЛЕ 11 - ЧТО Ж ТЫ, РОЗА	10620
Надежда БУРДАКОВА	О ТЕБЕ	Надежда БУРДАКОВА - О ТЕБЕ	10621
Надежда БУХАРОВА	БАЙКАЛЬСКОЕ ЛЕТО	Надежда БУХАРОВА - БАЙКАЛЬСКОЕ ЛЕТО	10622
Надежда ГРАНОВСКАЯ	ДЕЛО НЕ В ТЕЛЕ	Надежда ГРАНОВСКАЯ - ДЕЛО НЕ В ТЕЛЕ	10623
Надежда ГРАНОВСКАЯ	ОСТАНЬСЯ	Надежда ГРАНОВСКАЯ - ОСТАНЬСЯ	10624
Надежда ГРАНОВСКАЯ	ТАНГО ВОЗВРАЩЕНИЯ	Надежда ГРАНОВСКАЯ - ТАНГО ВОЗВРАЩЕНИЯ	10625
Надежда ИВАНОВА & Павел НОВОСЕЛОВ	СЕРДЦЕ МОЁ	Надежда ИВАНОВА & Павел НОВОСЕЛОВ - СЕРДЦЕ МОЁ	10626
Надежда КАДЫШЕВА	АХ, СУДЬБА МОЯ, СУДЬБА	Надежда КАДЫШЕВА - АХ, СУДЬБА МОЯ, СУДЬБА	10627
